ID,h02_laba_1,h02_laba_2,h02_laba_3,h02_slikta_1,h02_slikta_2,h02_slikta_3,h08_tx1,h08_tx2,h08_tx3
515,atbalsts visās jomās,kopīgas vērtības un intereses,eiro, , , ,"ceļojusi, kopīga valūta",strādājusi ar sabiedriskajām organizācijām Eiropas Savienībā, 
516,saņemam Eiropas finansējumu (neatdodamu), , , , , ,98, , 
517,brīva pārvietošanās,vienota ekonomika,starptautisks atbalsts, , , ,starptautisko sociālo atbalstu, , 
518,Eiropas projekti,valsts attīstību veicina, , , , ,98, , 
519,98, , , , , ,98, , 
520,dzīve labāka,dzīve drošāka,dzīve sakārtotāka, , , ,brīva ceļošana,viena valūta,EVAK karte
521,Eiropas atbalsts,ceļošana, , , , ,98, , 
522,brīva ceļošana,viena valūta, , , , ,ceļots Eiropā,mācību kursi, 
523,starptautiskā tirdzniecība vieglāka,Šengenas zona, , , , ,eksports,Šengena zonu, 
525,zemniekiem atbalsts- platību maksājumi,dažādi Eiropas projekti, , , , ,ceļojot,zvani uz ES lēti,eiro
527,var ceļot bez vīzām,Eiro, , , , ,eiro, , 
528,98, , , , , ,98, , 
529,Eiropas fondu pieejamība,integrācija- Eiropas savienībā,attālināšanās no visa krieviskā, , , ,98, , 
530,98, , , , , ,98, , 
532,98, , , , , ,98, , 
534,vienota valūta - eiro,lielāka iespēja un drošība ceļot, , , , ,ceļoju, , 
536,ES ārējo robežu stiprināšana,EVAK karte, , , , ,EVAK karte, , 
538,ceļošana, , , , , ,ceļojumi brīvi bez robežām, , 
539,kaut cik ES valstīs atbalsta Latviju,atbalsts lauksaimniekiem, , , , ,Eiropas projekti, , 
542,ceļu remonti,labiekārtotas skolas, , , , ,98, , 
544,ceru uz aizsardzību karā,vienotība,valūta, , , ,98, , 
546,ēku renovācijas, , , , , ,98, , 
547,var ceļot, , , , , ,98, , 
551,izglītības projekti,māju siltināšanas daļēja sponsorēšana, , , , ,ceļošana, , 
552,palīdz lauksaimniekiem, , , , , ,vingrošanas nodarbības, , 
553,var ceļot,vairāk izmanto angļu valodu,brauc brīvi, , , ,98, , 
554,bezrobežu ceļošana,visiem eiro, , , , ,98, , 
555,palicis maz oligarhu,seko labklājībai,nepraktiski projekti bija pašvaldībai, , , ,darba iespējas,ceļošana, 
556,98, , , , , ,98, , 
557,ceļu būve,projekti, , , , ,98, , 
560,ceru aizstāvēs iedzīvotājus no kara, , , , , ,98, , 
561,var ceļot, , , , , ,98, , 
563,"pieeja naudas plūsmām, kas attīsta valsti",eiro ieviešana, , , , ,kultūras pasākumu pieejamību,eiro izmantošana, 
565,"jaunas iespējas, finanšu atbalsts","iespēja zinātniekiem ""izsisties"" pasaulē", , , , ,eiro lietošana,ceļošana vieglāka, 
566,iespēja attālināties no Padomju laikiem un stagnācijas, , , , , ,"uzlaboto infrastruktūru (brīvdabas takas, ceļu segumu)",ceļošanu bez šķēršļiem, 
567,ceļošanas iespējas bez vīzas,vieglāka iepirkšanās internetā,"uzlabojušās patērētāju tiesības, arī preču kvalitāte", , , ,98, , 
568,tā ir valsts un sabiedrības nepārtrauktas attīstības iespēja ilgtermiņā par labāku nākotni,"nodrošina iedzīvotāju un valsts drošību, ciešāki starptautiskie sakari, piemēram, policijas izmeklēšana", , , , ,izmanto eiro,piedalīšanās Eiropas eksāmenā,ceļošana bez vīzas
569,"jauniešiem daudz iespējas mācībās, pieredzes apmaiņā",var brīvi ceļot Eiropas pilsoņi,"jauki skeitparki, trases, veloceliņi utml.", , , ,mobilo sakaru izmaksas ceļojot ES,"bez vīzas var ceļot, izmantota arī EVAK karte", 
571,"drošības garants - gan ekonomisks, gan fizisks no ārējiem draudiem",slimnīcas labāk aprīkotas ar modernām iekārtām,"līdz ar Latvijas iestāšanos ES, sāka veidoties zināma kārtība visās tautsaimniecības jomās", , , ,apguva datora lietošanu,šķiro atkritumus tiem paredzētajos konteineros, 
572,"vides uzlabošana, piemēram, tilti, ēkas, veloceliņi","var brīvāk studēt, arī strādāt visā ES",Erasmus programma, , , ,lieto eiro,"veloceliņus izmanto, kas noteiktu izveidoti par ES līdzekļiem", 
573,mūsu lauksaimniekiem finansiāls atbalsts,robežas vaļā visā Eiropā,lielāka personas datu drošība, , , ,jauko depozīta sistēmu,"kovida potes sertifikāts, kas vienots visiem ES iedzīvotājiem", 
574,"drošība lielāka, robežu stiprināšana","bērni un mazbērni var brīvi ceļot, mācīties Eiropā","kaitīgu vielu izskaušana, aizliegšana Eiropā, piemēram, no atsevišķu pārtikas produktu sastāva, sadzīves ķīmijas", , , ,dalība EP vēlēšanās,eiro izmantošana, 
575,var brīvi ceļot,vienota valūta,"studentiem lielas studiju iespējas, apmaiņas programmas", , , ,ceļošanu uz citām ES valstīm bez vīzas,norēķināšanās ar eiro, 
576,Latvijai pieejami dažādi ES fondu līdzekļi,"nevajag vīzu, lai ceļotu", , , , ,kvalitatīvas preces veikalos var nopirkt, , 
577,brīva ceļošana pa Eiropu,lielāka labklājība,plašākas darba iespējas Eiropā, , , ,5G internets,ceļošana bez vīzas, 
579,ceļo kur gribi,mācies kur gribi,strādā ko māki, , , ,98, , 
581,darbs ārzemēs,dzīve jebkurā ES valstī,dažādi pabalsti ukraiņiem, , , ,braucu pa atremontētu šoseju, , 
583,cilvēku mobilitāte,tirdzniecībā - daudz preču,vienota nauda eiro, , , ,98, , 
589,iespēja saņemt pabalstu,var izbraukt,pilsoņu tiesības ievēro, , , ,98, , 
593,98, , , , , ,98, , 
594,98, , , , , ,98, , 
596,atbalsts ekonomikai,"vieglāk ceļot, mazākas problēmas uz robežām", , , , ,ceļošana uz citām ES valstīm, , 
597,iespēja jaunatnei mācīties ārzemēs, , , , , ,98, , 
598,iespēja sadarboties uzņēmējdarbībā ar citām ES valstīm,iespēja brīvi ceļot, , , , ,ceļoju uz ārzemēm, , 
599,brīva pārvietošanās,iespējas strādāt ārzemēs, , , , ,98, , 
600,"vieglāk ceļot, nevajag vīzas",var strādāt citās valstīs, , , , ,vienota nauda, , 
602,brīvas ceļošanas iespējas,miera sajūta,drošība, , , ,ceļošanu, , 
603,"valsts tiek aizsargāta, piemēram, no Krievijas, no iebrucējiem","brīva ceļošana, nav robežkontrole",atbalsts dažādiem projektiem, , , ,"bezdarbnieku, malkas pabalsti",veselības apdrošināšana,ceļojumi
606,"drošība, kad Ukrainā karo",atvērtas robežas, , , , ,"nekādas, jo nezinu, ko tā piedāvā", , 
609,"var dabūt Eiropas naudas, atbalstu",var brīvi pārvietoties,vienota valūta, , , ,ārzemju apmeklējumi, , 
623,var brīvi ceļot,Erasmus programmas jauniešiem, , , , ,aizbraucu pelnīt naudu uz ārzemēm, , 
627,var strādāt ārzemēs,maksā labu naudu lauksaimniekiem, , , , ,brīva strādāšana ārzemēs, , 
629,"var piedalīties Eiropas projektos, dabūt Eiropas naudu",iespējas ceļot bez vīzām,vienota valūta, , , ,ceļojumus, , 
632,ES mums dod naudu attīstībai, , , , , ,brīvo pārvietošanos, , 
638,ērtāk pārvietoties pa pasauli,"varbūt vairāk drošības, robežu stiprināšana",cilvēktiesības vairāk tiek ievērotas, , , ,gan jau kādus kursus,ceļošanu bez vīzām,"naudu, protams, kaut kādi Eiropas projekti bija"
639,kopīgas problēmas - dalītas problēmas,tomēr ceļošana ērtāka,atbalsts arī aizsardzības jomā, , , ,ceļošanu,"nu un tas, ka kopīga valūta arī, protams", 
645,tomēr kopā ar kādu ir labāk risināmas problēmas,tomēr arī finansiāls atbalsts,drošības jautājums arī; arī bērniem iespēja brīvi mācīties ārzemēs, , , ,esmu bijusi ceļojumos pa Eiropu,esmu mācījusies Eiropas apmaksātos kursos,darbā tika pa Eiropas naudu remonts
647,var strādāt brīvi Eiropā bez vīzas,viena valūta Eiropas valstīs,liels cenu kāpums, , , ,98, , 
653,nauda,ceļošana,aizsardzība, , , ,ceļojumi,koncerti, 
654,valūta,drošības sajūta, , , , ,pērku dārgu pārtiku,maksāju dārgos elektrības rēķinus, 
655,robežas atvērtas,kopīga nauda, , , , ,98, , 
657,drošāk,valūta viena, , , , ,eiro nauda,kopīgas robežas, 
658,liels kolhozs,viena robeža, , , , ,izmantoju naudu, , 
659,vienota valūta,robežas brīvas,drošība, , , ,ceļot pa ES, , 
660,kopējs tirgus ar valūtu,viegli ceļot,aizsardzība, , , ,98, , 
661,var braukt pa visām valstīm,kopīga valūta, , , , ,neko, , 
662,plašs redzes loks,visiem eiro,kopējas robežas, , , ,ceļojumus, , 
664,brīva ceļošana,darba iespējas, , , , ,neesmu izmantojis, , 
665,atvērtas robežas,līdzfinansējums projektos, , , , ,neko, , 
668,98, , , , , ,98, , 
669,atbalsts lauksaimniecībai,atvērtas robežas, , , , ,98, , 
673,vienota valūta,darba iespējas ārzemēs,ceļošanai atvērta visa ES, , , ,eiro,ceļošana, 
674,visiem eiro,dažādi projekti attīstībai, , , , ,bērni iesaistās izglītības apmaiņas programmās, , 
675,ES projekti - liels atbalsts Latvijas lauksaimniecībai,vienota valūta,brīvība ceļojot, , , ,vienoto valūtu,ceļošana bez vīzām,projektu naudu; dažādus kursus
676,bezvīzu ceļošana,ES struktūrfondu pieejamība, , , , ,naudu - eiro,atbalstu mazo lauku saimniecību attīstībai, 
678,vienotības sajūta ar rietumu pasauli,"izglītības, uzņēmējdarbības un lauksaimniecības projektu līdzekļu pieejamība", , , , ,Erasmus programmu,eiro valūtu,ceļošanas iespējas
679,"tie, kuri zina valodas, var braukt strādāt uz ārzemēm", , , , , ,tikai eiro naudu, , 
680,kopā drošāk, , , , , ,atbalstu zemniekiem, , 
681,iestāšanās ES deva iespēju zemniekiem tikt pie jaunas tehnikas ar projektu atbalstu, , , , , ,realizējām projektu - iegādāts traktors, , 
682,paplašina izglītības iespējas,eiro - vienots visā ES, , , , ,izglītības programmas, , 
683,drošība,atbalsts finansiāls, , , , ,neko, , 
688,98, , , , , ,98, , 
689,darba iespējas,brīvi ceļot,drošība, , , ,bezdarbnieku kursi, , 
693,"var ceļot ES, nevajag vīzas",var studēt ES,lauksaimnieki saņem subsīdijas no ES, , , ,98, , 
694,tirgus ES,iespējams strādāt jebkurā ES valstī,var studēt jebkurā ES valstī, , , ,es varu un izmantoju iespēju ceļot ES, , 
695,es varu braukt pie saviem bērniem Īrijā,"es varu strādāt ārzemēs, man nevajag vīzas",nevajag mainīt naudu, , , ,es varu ceļot brīvi, , 
697,es varu ceļot,lauku īpašnieki saņem subsīdijas,"var strādāt, studēt ārzemēs", , , ,es biju 10 ES valstīs - ceļoju, , 
699,ceļošana brīva,mani bērni strādā ārzemēs,"mēs, zemes īpašnieki, saņemam no ES subsīdijas par zemi", , , ,"es ceļoju, biju Lielbritānijā, Vācijā", , 
701,brīva ceļošana,valūta Eiropas,atvērts darba tirgus, , , ,apmācības kursus,finansējumu dzīvojamās mājas renovācijai, 
702,atbalsts Covid-19 atveseļošanās programmai,finansējums ēku renovācijām,atpūtas zonu izveidošanai, , , ,Covida 19 atveseļošanās pabalstus, , 
704,brīva pārvietošanās pa Eiropu,"esam maza valsts, materiāls atbalsts",militārais nodrošinājums, , , ,Covid 19 apmaksāto vakcināciju un piemaksu pie algas par vakcināciju, , 
706,ceļošana, , , , , ,nekādas, , 
707,sniegts finansiālais atbalsts,esam NATO dalībvalsts,iespēja droša ceļošana pa Eiropu, , , ,nekādas neizmantoju, , 
708,brīva pārvietošanās pa Eiropas valstīm,valsts drošība,kreditēšana, , , ,mācību programmu ES, , 
709,ceļošana pa Eiropu bez vīzām,atpūtas zonu ierīkošana,"sporta laukumi, stadionu finansējums", , , ,iedzīvotāju elektrības pabalstu, , 
710,98, , , , , ,saņēmu mācību ES programmu, , 
715,brīva pārvietošanās pa Eiropas valstīm,brīvs darba tirgus,dažādi finansējumi labiekārtošanai, , , ,98, , 
717,"drošāk, mazai valstij grūti sevi pasargāt",piešķir līdzekļus dažādiem projektiem,iespēja apgūt izglītību ārzemēs, , , ,98, , 
718,iespēja darba tirgū,ceļošanas iespējas,atbalsts naudas līdzekļos projektos, , , ,98, , 
719,atbalsts kultūras projektos,ēkas fasādes uzlabošanai,medicīnas aparatūras iegādei, , , ,98, , 
721,atbalsts,var brīvi ceļot,vienota valūta, , , ,brīvi ceļojusi,iespēju justies drošāk izmantoju joprojām, 
724,projektu piesaistīšana un finansiāls atbalsts,viegla un ērta ceļošana,kopīgas vērtības, , , ,ceļoju,"projektus esmu veikusi, kas ir tieši ar ES atbalstu", 
725,spēcīga mugura no ES,bezvīzu privilēģijas, , , , ,98, , 
726,Latvija saņem naudu no ES fondiem,attālināšanās no Krievijas ietekmes,Latvijas iedzīvotāju iesaistīšana dažādos ES projektos, , , ,Eiropas kvalifikācija, , 
727,aizsargā mūsu Latviju,brīvība ceļojot,darba iespējas, , , ,ceļošana brīva, , 
728,"dažādi projekti, kursi bezdarbniekiem",ceļošana ērta, , , , ,mācības, , 
733,drošība lielāka,finansiāls atbalsts, , , , ,pārvietošanās, , 
735,projekti,pārvietošanās brīva,vienota valūta, , , ,nedaudz ceļo, , 
736,darba iespējas lielākas,"ceļošana, pārvietošanās brīva", , , , ,98, , 
738,aizsardzība,finansiāls atbalsts,pārvietošanās brīva, , , ,"atjaunotas tūristu takas, velo celiņi", , 
739,jauniešiem mācību iespējas,ceļošana brīvāka,drošība lielāka, , , ,98, , 
741,aizsardzība, , , , , ,98, , 
742,ērtāk ceļot,labākas iespējas mācīties,ES apmaksāti projekti, , , ,ceļošana,lētākas telefonsarunas, 
743,finansējums,Eiropas vērtības,tiesiskums, , , ,"strādāju, kur maksā Eiropas naudu", , 
744,lielāka valsts drošība, , , , , ,neko neesmu dabūjis, , 
746,finansējums dažādiem projektiem,lielāka drošība, , , , ,darbs ES projektos, , 
747,aizsargā mūs,vieglāk veidot ārpolitiku, , , , ,finansējums darbā, , 
749,finansiāls atbalsts,vienota likumdošana,vairāk iespēju dažādiem projektiem, , , ,ceļošana, , 
750,drošība, , , , , ,nav bijis, , 
751,ceļošanas iespējas,kohēzijas fondi, , , , ,Erasmus,ceļošana, 
752,drošības sajūta,papildus iespējas - ceļošana,"izglītība, projekti", , , ,ceļošana,fondu nauda projektos, 
753,iespējas strādāt ārzemēs,iespējas ceļot, , , , ,strādāju Īrijā, , 
754,stabilitāte, , , , , ,98, , 
755,lielāka drošība,finansiāls atbalsts, , , , ,patvērums no kara Ukrainā, , 
757,var aizdot valstij naudu,Šengenas zona,vairāk demokrātijas, , , ,Šengenas zonā ceļoju bez vīzas,citās ES valstīs nav nacionalitātes konfliktu, 
759,"finansiāls atbalsts, projekti", , , , , ,98, , 
761,ceļošanas brīvība,drošība, , , , ,98, , 
762,saņemam finansējumu,ceļošana bez vīzām, , , , ,sakārtota veloinfrastruktūra,lētākas telefonsarunas ES, 
763,Eiropas vienotība,ceļošana,vienota valūta, , , ,ērtāk ceļot, , 
764,NATO, , , , , ,ceļošana,lētāk zvanīt, 
765,drošība,veselīga atmosfēra valstī, , , , ,98, , 
766,lielāka valsts drošība, , , , , ,lētākas telefonsarunas ar ārvalstīm, , 
767,"mazai valstij labi būt daļai no kā lielāka, drošība",finanses, , , , ,ES finansēti projekti,ceļošana ērtāka, 
768,vairāk iespēju ceļošanai, , , , , ,ceļošanu, , 
769,finansējums, , , , , ,ērtāki biznesa un atpūtas braucieni, , 
771,"daudz ceļoju, ērti ar naudu un dokumentiem",informācijas vairāk, , , , ,ceļošanas iespējas, , 
772,atbalsti nāk no ES naudas, , , , , ,ES projekta naudu, , 
774,"tas vien jau ir labi, ka mēs esam iekšā ES - mēs esam vairāk pasargāti", , , , , ,98, , 
776,vieglāk ir saņemt Eiropas naudu dažādiem projektiem,atbalsts lauksaimniekiem, , , , ,98, , 
777,vieglāk ceļot,dažādiem projektiem sniedz atbalstu,atbalsta māju renovācijas, , , ,neesmu neko izmantojis, , 
778,aizstāvība, , , , , ,nekādas, , 
779,spēj nodrošināt drošības sajūtu, , , , , ,saņemu maznodrošināto pakas, , 
782,vienota nauda visās valstīs,daudz sakoptu vietu,"drošāk dzīvot, ceļot", , , ,98, , 
783,valsts drošība,ceļojumi, , , , ,kursi, , 
784,drošība,"mācības, kursi",ceļošana, , , ,esmu ceļojusi,apmeklēju kursus, 
785,aizsardzība no citām valstīm,"labiekārtoti ciemi, pilsētas",cilvēki var strādāt ārpus Latvijas Republikas, , , ,baudu sakārtoto vidi, , 
786,ceļot un mācīties ārpus Latvijas,visādu komunikāciju uzlabošana, , , , ,ceļoju,mācos, 
787,atbalsts lauksaimniekiem, , , , , ,subsīdijas savā saimniecībā,mācības, 
788,subsīdijas,ceļošana,drošība, , , ,saimniecībā subsīdijas,ceļošana, 
789,mums (Latvijai) ir drošāk,varam brīvi ceļot,kursi un mācības, , , ,mūsu z/s subsīdijas, , 
790,darbs visā Eiropā,drošība kopā ar pārējām ES valstīm,apmācības, , , ,man ir darbs citā valstī, , 
791,ES mūs aizstāv,"sakārtotas pilsētas, ciemi", , , , ,98, , 
793,sakoptākas vietas, , , , , ,ceļošana,veselības nodarbības, 
794,darbs ārpus Latvijas,var brīvi ceļot, , , , ,darbs ārpus Latvijas, , 
795,mums ir drošība, , , , , ,98, , 
796,"ES atbalsti, finanšu līdzekļi",Es aizsardzība,brīva ceļošana; darba iespējas ārzemēs, , , ,ceļošana, , 
805,vairākumam valstu vienota valūta, , , , , ,iespēja ceļot,mācīties, 
806,nav robežu - iespēja ceļot, , , , , ,iespēja strādāt, , 
807,var strādāt ārzemēs,var mācīties ārzemēs, , , , ,98, , 
809,pārvietošanās brīvība, , , , , ,98, , 
810,nav robežu,iespēja ceļot, , , , ,"iespēju atpūsties, ceļot", , 
811,vienots tirgus, , , , , ,98, , 
813,pārvietošanās brīvība, , , , , ,98, , 
814,var brīvi ceļot,var iegūt Eiropas naudu, , , , ,ceļojumus, , 
815,nopelnīt mācībām, , , , , ,pārvietošanās bez robežām,strādāju ārzemēs, 
816,pārvietošanās pa pasauli bez robežām,"iespēja strādāt, ceļot un atpūsties", , , , ,ceļošanu brīvu, , 
820,"ir iespēja doties uz ārzemēm, lai nopelnītu naudu", , , , , ,dažreiz pastrādāt ārzemēs, , 
822,sniedz palīdzību mūsu valstij,maksā subsīdijas dažādas zemniekiem, , , , ,es nekādas, , 
827,dažādas atbalsta programmas,vienotais tirgus,"ceļošanas, darba, mācību iespējas", , , ,98, , 
828,darba iespējas visā ES,nav robežkontroles,vienota valūta, , , ,strādājis ārzemēs, , 
829,var ceļot,valsts drošība,atbalsta fondi, , , ,salabotus ceļus, , 
830,nav robežu,vienota valūta, , , , ,ceļošana,infrastruktūra, 
832,Eiropas fondu nauda,darbs ārzemēs,kultūras apmaiņa, , , ,realizēti infrastruktūras projekti, , 
834,papildus finansējums kultūrai,atbalsts lauksaimniekiem,sakārtotāki ceļi, , , ,mūžizglītība, , 
835,atbalsts lauksaimniekiem,vienota valūta, , , , ,ceļošanu brīvu, , 
836,izglītības iespējas ES,darba iespējas ES,ceļošanas iespējas ES, , , ,dažādi kursi, , 
837,"jo piešķir naudu labiekārtošanai t.i. - ceļiem, pabalstiem, labdarībai","organizē pasākumus, atbalsts maznodrošinātajiem", , , , ,nekādas, , 
838,brīva ceļošana pa ES valstīm,vienota nauda,var mācīties ārzemēs, , , ,laikam nekādas, , 
839,vienota valūta,sakopta apkārtne,tūrisma iespējas, , , ,nekādas, , 
840,tiek piešķirta nauda dažādiem projektiem,atbalsts trūcīgiem iedzīvotājiem, , , , ,98, , 
841,apmaksāti kursi - izglītība,pieejams darbs ārzemēs,ātra - brīva ceļošana, , , ,braucu strādāt uz Vāciju, , 
842,pabalsti maznodrošinātajiem un trūcīgajiem,sakārtota pilsētas infrastruktūra, , , , ,trūcīgo pakas, , 
843,ceļiem nauda piešķirta,izglītoties var caur bezdarbniekiem, , , , ,nekādas, , 
845,"sakārtota pilsēta, ceļi", , , , , ,98, , 
847,palīdz lauksaimniekiem un arī mājas renovē ar Eiropas naudu, , , , , ,98, , 
848,vienāda nauda,projekti un atbalsts lauksaimniecībā, , , , ,ceļošanu,"skatos Eirovīziju, balsoju", 
851,Eiropa mūs aizsargā no Krievijas, , , , , ,ceļošana pa Eiropu,pagastā bezmaksas vingrošana senioriem, 
853,ir vienota nauda,var braukt bez ierobežojumiem pa visu Eiropu, , , , ,ceļošanu,EVAK karti, 
855,vienota naudu,ERAF projekti,piešķir kompensācijas lauksaimniecībā, , , ,98, , 
858,"ja mēs nebūtu ES, tas mēs būtu Padomju savienībā", , , , , ,braukusi ekskursijās, , 
859,Amerika palīdz,"ir miers, nav karš, ir drošības sajūta","ir darbs, cilvēki strādā, rūpējas par savām ģimenēm", , , ,nekādas, , 
860,"plašākas iespējas Eiropas līmenī - gan ekonomiskās, gan izglītības, gan aizsardzības jomā","brīva pārvietošanās, var doties strādāt, dzīvot",dažādas pieejamas atbalsta programmas, , , ,brīva ceļošana,Eiropas parlamenta vēlēšanas,Erasmus
863,"aizsardzība, drošība",finansiāls ES atbalsts, , , , ,neko nav izmantojis, , 
864,aizsardzība no Krievijas,remontē ceļus,"brīvība - var braukt, mācīties, strādāt", , , ,neko īpašu, , 
865,brīvas ceļošanas iespējas,"attīstījusies valsts, viss jauns", , , , ,ceļošanas iespējas,lauku attīstības atbalsts, 
866,"šobrīd var dzīvot brīvi, viss ir pieejams","var brīvi arī strādāt, ceļot un mācīties", , , , ,neko, , 
868,"izglītības pieejamība, bet arī tur vajadzīgi līdzekļi lai tur nokļūtu",sakārtota vide,atbalsti maznodrošinātajiem, , , ,98, , 
869,bezmaksas izglītība,sakārtota pilsētvide, , , , ,98, , 
870,atbalsts maznodrošinātajiem, , , , , ,atbalsta pakas trūcīgajiem, , 
871,pabalsti,pārtikas pakas, , , , ,saņemu pabalstu,pārtikas atbalsta pakas, 
872,"mūžizglītība, arī ārzemēs",pilsētu attīstība,"tūrisms, arī darbs ārzemēs", , , ,98, , 
873,sakārtotas pilsētas ielas,brīva ceļošana,brīvas iespējas strādāt ārzemēs, , , ,esam apmeklējuši bezmaksas koncertus, , 
875,kursi pieejami,uzlabota pilsētvide,atpūtas iespējas, , , ,kursus izmantoju - izglītību, , 
876,98, , , , , ,98, , 
878,"atvērtas robežas, var brīvi pārvietoties",vienota valūta, , , , ,98, , 
879,atvērtas robežas,subsīdijas, , , , ,98, , 
884,izglītības pieejamība, , , , , ,98, , 
885,lielāka drošība,elektrības pabalsts trūcīgiem,saremontēti ceļi pilsētā, , , ,"neko neizmantoju, jo te laukos bez tehnikas nav jēgas braukt uz kaut kādiem kursiem", , 
886,ar ES atbalstu var ātrāk tikt pie invalīdam vajadzīgā aprīkojuma,pabalsti, , , , ,ticis pie palīglīdzekļiem - invalīdam, , 
887,jauniešiem iespējas studēt ārpus Latvijas, , , , , ,98, , 
889,var naudiņu dabūt,militāra drošība,var brīvi braukt strādāt, , , ,pabalstu maznodrošinātajiem, , 
891,jo pieejama mūžizglītība,pilsētvide sakārtota,pabalsti trūcīgiem, , , ,kursus bezdarbniekiem, , 
893,ceļot var,strādāt var,brīvība, , , ,neko, , 
894,"esam savienībā, drošība", , , , , ,98, , 
895,ekonomikas attīstība labāka, , , , , ,strādāju ES, , 
896,iespējas strādāt ES,ceļot ES,NATO dalībvalsts, , , ,nav izmantots, , 
898,kopīgi lēmumi ir labāki, , , , , ,nav izmantota nekad, , 
899,ceļot var,strādāt var, , , , ,nav izmantots, , 
900,drošība, , , , , ,"nē, neko nav izmantojusi", , 
903,var projektos saņemt Eiropas finansējumu,lauksaimniecībā arī ir Eiropas finansējums, , , , ,neizmantoju, , 
907,sniedz palīdzību trūcīgajiem,finansē dažādus projektus, , , , ,3 mēnešu pagaidu darbs,bezmaksas produktu pakas, 
910,var saņemt Eiropas fonda finansējumu,maksājumi lauksaimniekiem no Eiropas fonda, , , , ,98, , 
913,valsts finansiāli iegūst,ceļošana, , , , ,ceļoju, , 
915,ir bijuši daži labi projekti zemniekiem, , , , , ,dažus projektus lauksaimniecības tehnikas iegādei, , 
916,drošība,stabilitāte, , , , ,98, , 
919,Eiropeiskas vērtības,demokrātisks bloks,finansiāls atbalsts, , , ,98, , 
920,"jauniešiem plašas iespējas ceļot, mācīties", , , , , ,jauniešu nometne, , 
921,ES naudas ieplūšana Latvijā,līdzekļi lauksaimniecībai,tās ir projektu naudas un subsīdijas, , , ,lauksaimniecībai subsīdijas, , 
922,izglītības pieejamība jauniešiem, , , , , ,neesmu, , 
924,kopēja valūta,kopēja robeža,brīva ceļošana, , , ,lauksaimniecībā šis tas, , 
925,brīvi var pārvietoties pa Eiropu,jaunatne mācīties, , , , ,projektu apgūšana, , 
926,finansiāls atbalsts lauksaimniekiem, , , , , ,98, , 
928,valsts attīstība - cilvēktiesības,kultūras jomā,NATO aizsardzība, , , ,datorprasmes joma,svešvalodas kursi - angļu un vācu, 
932,iespēja ceļot Eiropā,iespēja dzīvot Eiropā,Eirofondi un eiroprojekti, , , ,ceļojumi uz Eiropas Savienības valstīm,Eiroprojekti saistīti ar darbu, 
933,"ekonomiskā attīstība, sadarbība",atvērtas robežas,"vispār, kopā labāk", , , ,apmācības darbā, , 
935,eirofondi,bezvīzu režīms, , , , ,98, , 
938,aizsargā Latviju, , , , , ,nevienu, , 
940,sākām labāk dzīvot,brīvība, , , , ,bezierobežojumu pārvietošanās, , 
942,iespēja ceļot Eiropā,iespēja strādāt un dzīvot kur grib Eiropā,eironauda, , , ,iespēja ceļot Eiropā, , 
948,"daudz plašākas biznesa iespējas, Eiropas atbalsts, subsīdijas",izglītības iespējas plašas,"kopēja valūta, ceļošana, iepirkšanās", , , ,biznesa atbalsts - finansējums projektam,Erasmus programmu, 
952,brīva ceļošana,Eiropas fondi,saziņa, , , ,nekādas, , 
959,var strādāt citur,ceļot bez vīzas,jauniešu projekti, , , ,ceļot,strādāt, 
961,ceļošana,brīvība relatīvi,darba iespējas, , , ,laikam tikai ceļošanu, , 
964,labāk nekā Krievijas ietekmē un aizstāv pret Krieviju, , , , , ,katru dienu maksāju ar eiro,ID karte kā citiem Eiropā, 
965,"Latvija attīstās, ir līdzvērtīga citām Eiropas valstīm", , , , , ,98, , 
967,"visi Eiropas labumi pieejami - ceļošana, darbs ārzemēs, māju siltināšana", , , , , ,98, , 
968,"līdzvērtība ar citām valstīm - gan cenas, gan algas", , , , , ,98, , 
969,"tagad viss kā Eiropā pieejams, Lidl veikali, mašīnas", , , , , ,eiro maksājumos,zvanu dēlam uz Vāciju, 
972,var ceļot,var strādāt Eiropā,projekti pieejami, , , ,esmu ceļojusi,skolā piedalījos Eiropas projektos,ir EVAK karte
973,"visiem vienādas pases, var ceļot",var strādāt ārzemēs, , , , ,98, , 
974,maksā subsīdijas, , , , , ,finansiālo atbalstu, , 
975,"var brīvi pārvietoties, strādāt ES robežās",var ceļot,Eiropas Savienības projektos var piedalīties, , , ,pagasta centra labiekārtošana, , 
979,var piedalīties ES projektos,maksā subsīdijas zemniekiem,ārējā drošība lielāka, , , ,Eiropas subsīdijas par zemes apstrādi, , 
980,projektos var piedalīties, , , , , ,pagasta centrā ierīkots ielu apgaismojums un ierīkots gājēju celiņš, , 
981,"var brīvi doties uz ārzemēm, strādāt, ceļot",finansējums ielu remontiem,labiekārtošanas projekti, , , ,mājas siltināšana, , 
982,maksā subsīdijas par zemi, , , , , ,saņemam subsīdijas par zemi, , 
983,uzlabojās valsts drošība, , , , , ,saņēmu ES subsīdijas par apstrādāto zemi, , 
984,Eiropas fondi, , , , , ,ceļošana, , 
985,esam Eiropā,varam prasīt palīdzību, , , , ,98, , 
987,var ceļot,mācīties citā valstī, , , , ,brīva ceļošana, , 
991,drošība Latvijā,"dažādi proejekti, kuros var piedalīties", , , , ,98, , 
992,drošība,sakārtotība, , , , ,daži projekti, , 
